hom_count,illicit_resources,pop_slums,gini,corruption,pko_troops,pko_police,total_deaths,year,country_id
5913,1,45.834654379501146,49.07066660929718,0.3175589177140393,0,0,4016,1998,840
916,1,53.571729679211536,34.7977788722059,-0.15750372837494545,0,0,2117,2001,775
743,1,24.15337323784463,51.20571664497699,0.31767560723304933,0,0,2269,2004,775
791,1,40.951740785217034,32.30659183793584,-0.06125780990956051,0,0,2474,2008,775
1436,1,70.57993208185619,47.31312690689599,0.3081024793025928,0,0,2911,2012,775
1238,1,39.184886142431175,29.98901638839574,0.16217446017934153,0,0,2915,2013,775
1230,1,41,42.33010790621339,0.05505181530605957,0,0,2930,2014,775
1152,1,58.627598257997164,38.1,0.02212134191942361,0,0,2951,2015,775
1198,1,56.5999984741211,36.06561609322063,0.013878063435926763,0,0,2951,2016,775
5344,1,70.62043258169331,45.3,0.13824298886511727,0,0,215,1990,800
5586,1,46.40419086123498,42.01855945016184,-0.012229259846863794,0,0,215,1991,800
5959,1,50.877947178564604,47.9,0.1744723093361637,0,0,215,1992,800
5482,1,69.46529879906578,37.7101903720219,0.17187611580925655,0,0,215,1993,800
5006,1,42.95204990319634,43.5,0.27393500622891864,0,0,215,1994,800
4542,1,29.39342946134512,37.2332026274642,-0.020866793503019593,0,0,215,1995,800
4474,1,52.16075466529741,42.9,0.0719888720054156,0,0,215,1996,800
4787,1,16.163764456160017,40.08000419795279,0.18665762671385025,0,0,215,1997,800
5361,1,24.67712193796588,41.5,-0.12166457812310308,0,0,215,1998,800
5052,1,59.66304034319869,43.1,0.11429490892663656,0,0,215,1999,800
5142,1,60.841433037538096,42.8,0.2834325301719613,0,0,223,2000,800
5020,1,33.611894801341684,41.189309493875214,0.3364183328139305,0,0,226,2001,800
4538,1,47.270747074251865,41.9,-0.07776476092662807,0,0,226,2002,800
6434,1,48.42059133995178,39.25069629092609,0.15062100040062376,0,0,226,2003,800
4273,1,36.696389884197416,42.5,0.16181252987684663,0,0,226,2004,800
4806,1,26,45.075315257665935,0.4663345490686378,0,0,226,2005,800
4687,1,21.418239050257093,41.8,0.1704250999556982,0,0,226,2006,800
4435,1,25.528007159086695,39.8,0.21082066396689897,0,0,226,2007,800
3974,1,50.99005827014351,40.3,0.2158090034884338,0,0,226,2008,800
3703,1,49.771837233192954,39.6,0.32181387684714524,0,0,226,2009,800
3654,1,27,39.4,0.29376295339787234,0,0,233,2010,800
3307,1,37.56846200733153,37.5,0.1287870210620657,0,0,233,2011,800
3323,1,29.198150931658496,39.3,0.020565032809423706,0,0,233,2012,800
2894,1,66.41200196820657,37.8,0.34820383928466486,0,0,233,2013,800
2649,1,25,37,0.08841741312328873,0,0,233,2014,800
2387,1,45.82106520588679,36,-0.027834369782301416,0,0,233,2015,800
2229,1,24.6000003814697,36.9,0.09114969252526055,0,0,233,2016,800
1787,1,35.67927307220292,36.5,0.015885996565322996,0,0,233,2017,800
1198,0,56.5999984741211,42.58473023209137,0.6657744303075421,0,0,175,2016,775
1613,0,8.595930375806006,36.65121771013217,0.2422334232251013,0,0,69,1995,775
1041,0,62.806975298629965,28.746049888267578,0.48328427580999034,0,0,69,2000,775
916,0,35.31466139473063,36.94645593141051,0.3620653082251632,0,0,69,2001,775
814,0,12.613104770345902,38.180743100475475,0.6796935477897064,0,0,69,2002,775
764,0,44.12787799928332,34.13178277561142,0.4740467953695424,0,0,69,2003,775
743,0,23.937062715101284,35.441589345154576,0.39344248096657275,0,0,69,2004,775
676,0,45.5999984741211,34.56944352107992,0.5660885128859877,0,0,69,2005,775
777,0,31.120612062018672,38.632227580564305,0.47386374022739086,0,0,69,2006,775
749,0,25.67629782182945,35.22888617728086,0.45173062834444655,0,0,69,2007,775
791,0,36.98386408678587,37.497095096263664,0.451449145571696,0,0,69,2008,775
879,0,48.2135097167639,44.589586740873415,0.4507563132710066,0,0,69,2009,775
801,0,52.53178671218827,33.583636944760045,0.19223976462381911,0,0,69,2010,775
1055,0,43.14313195268564,25.1207409201706,0.46442838717424884,0,0,69,2011,775
1436,0,56.7534192404513,35.014668768731674,0.4433718687771405,0,0,70,2012,775
1238,0,46.23676860794205,32.60994125969489,0.3956170971548867,0,0,70,2013,775
1230,0,41,39.166889969412615,0.49231404195439066,0,0,72,2014,775
1152,0,56.50185645281848,38.1,0.3817304849992531,0,0,76,2015,775
1613,1,31.99971280615297,50.807913690130874,0.2645746731437031,0,0,82,1995,775
1041,1,57.318811665507525,36.96087124797019,0.07171890752282592,0,0,82,2000,775
916,1,33.00011478484881,36.10897731640225,0.08915437026232316,0,0,82,2001,775
814,1,38.96909372279979,26.47515777693905,0.12907887678351954,0,0,82,2002,775
764,1,32.33189459235197,40.18515260466655,0.16180777071332578,0,0,82,2003,775
743,1,9.90542260528056,35.54004250923447,0.2000164107729963,0,0,82,2004,775
676,1,45.5999984741211,33.5906642723608,0.1412376036107499,0,0,82,2005,775
777,1,55.17454047069683,41.268008816099375,0.18229596548196136,0,0,82,2006,775
749,1,56.63083847064419,30.796003550201824,0.16058140983129,0,0,82,2007,775
791,1,54.47005185673604,35.341499724860405,0.29665093908002654,0,0,82,2008,775
879,1,38.30178362242875,34.342455086803355,-0.26671061260021334,0,0,82,2009,775
801,1,23.822350024494703,42.74130342533413,0.030161737435639213,0,0,82,2010,775
1055,1,27.832434655583885,30.10579880722552,0.16358250702878482,0,0,82,2011,775
1436,1,61.17437079062046,30.96547587196461,0.2614581260274899,0,0,82,2012,775
1238,1,41.43786847979634,32.55431624025643,-0.013455671121456458,0,0,85,2013,775
1230,1,41,34.302085334999916,-0.24628604480577584,0,0,85,2014,775
1152,1,53.194185787818824,38.1,0.19250073778844434,0,0,85,2015,775
1198,1,56.5999984741211,36.78056240027397,0.11761721237541327,0,0,85,2016,775
46386,1,48.2000007629395,39.344149647676566,0.23673194170586717,0,0,653,1995,750
419,1,26.879474187163815,34.0931314338683,0.0945977606836146,0,0,191,2017,670
2046,1,30.391698176748328,35.69072822614577,-0.1953774335730498,0,0,190,1990,775
1613,1,87.54435069788173,35.12995182197357,0.18023857970565457,0,0,190,1995,775
1041,1,46.72267878067591,45.29250141495746,0.19375187473455607,0,0,190,2000,775
916,1,14.205724705861066,33.26919861266956,-0.05145737284071142,0,0,201,2001,775
814,1,55.32647821610923,37.17362572550726,0.2415884891510624,0,0,201,2002,775
764,1,62.442308964863855,31.68191636981995,-0.3414943200855165,0,0,201,2003,775
743,1,67.58623243837219,32.11675958520457,0.027649125506936684,0,0,201,2004,775
676,1,45.5999984741211,26.02028825047426,-0.04467923387637024,0,0,201,2005,775
777,1,56.092247436047934,42.80618422134851,0.06591753204234778,0,0,207,2006,775
749,1,28.797344864132633,48.04471900488352,0.2368794850991654,0,0,207,2007,775
791,1,3.1294180480189056,40.8086066853968,-0.13828954311850952,0,0,207,2008,775
879,1,27.25943740662489,34.39534043874994,-0.06265700970035842,0,0,207,2009,775
801,1,44.79299956001995,40.06065371921834,0.36266777050816107,0,0,207,2010,775
1198,1,56.5999984741211,39.7326104263969,0.2190449186638156,0,0,1453,2016,775
3619,1,48.30736603776781,47.11662034399049,0.664,0,0,437,1996,90
3998,1,30.119765437015403,43.23793524121425,0.651,0,195,437,1997,90
3310,1,50.62591336936744,49.903668412386466,0.635,0,0,437,1998,90
2655,1,54.33220486806508,47.3666412536712,0.635,0,173,437,1999,90
2904,1,48.0999984741211,54.2,0.613,0,517,437,2000,90
3230,1,60.87069026538847,46.595149237408826,0.613,0,113,437,2001,90
3631,1,52.58943382412328,41.26831277343549,0.593,0,90,437,2002,90
4237,1,67.89273355191388,46.12856925140373,0.593,0,0,437,2003,90
4507,1,46.39029106271079,52.5265504184323,0.593,0,0,437,2004,90
5338,1,42.9000015258789,54.05791733261902,0.564,0,0,437,2005,90
5885,1,43.93626405964734,54.6,0.564,0,0,437,2006,90
5781,1,46.47075928104485,50.23200694698771,0.564,0,0,437,2007,90
6292,1,69.43100383586673,45.83700148943903,0.564,0,0,437,2008,90
6498,1,26.21200794552879,36.86203503747023,0.564,0,0,437,2009,90
5960,1,38.7000007629395,39.81949784455564,0.564,0,0,437,2010,90
5681,1,55.148829220266876,44.621770469839426,0.541,0,0,437,2011,90
5155,1,38.38437904390554,52.66503602079754,0.536,0,0,437,2012,90
5253,1,39.136920389894286,46.95911357156494,0.536,0,0,437,2013,90
4998,1,38.7000007629395,48.3,0.536,0,0,437,2014,90
4778,1,52.44509150096941,45.20112603253463,0.542,0,0,437,2015,90
4520,1,31,40.25384206090451,0.498,0,0,437,2016,90
4410,1,25.97420247831761,42.5469626012823,0.436,0,0,437,2017,90
3881,1,31,37.628369034305905,0.436,0,0,437,2018,90
183,1,84.82588549333707,35.98883056333237,0.1882480423017438,149450,0,152,2008,660
145,1,68.98736778106881,29.338945303283786,-0.16509141734906543,147225,0,152,2009,660
163,1,74.00185168768533,34.67644721503603,0.0020473892221529177,141080,0,152,2010,660
168,1,55.55113811317664,31.8,0.04702198420249598,144641,0,152,2011,660
194,1,53.9652265339366,33.459452612429345,-0.02092458684869375,139971,0,152,2012,660
236,1,62.43600439081792,36.01891823270504,0.15335688525480284,129139,0,152,2013,660
240,1,53.0999984741211,40.11785704855987,0.09242454750296906,113330,0,152,2014,660
231,1,68.95934038754865,39.50759405742844,0.43919456111960353,125553,0,152,2015,660
235,1,56.000505118145185,31.24973803237867,0.14421299132034104,126859,0,152,2016,660
246,1,65.26446924768146,39.22314484580574,0.2974662775037473,116123,0,152,2017,660
171,1,61.0999984741211,24.932924324403984,-0.2830107129943439,125723,0,152,2018,660
156,1,57.56094925289072,38.1,-0.13165527591066203,0,0,324,1997,666
147,1,53.763647143045304,29.075726831457334,0.023396416147444615,0,0,329,1998,666
137,1,21.29293460196102,32.51939423348331,0.11108335347521464,0,0,331,1999,666
127,1,68.88172144323848,36.15428234134016,0.042705290552043224,0,0,3701,2013,666
110,1,96.699199232701,25.518537081816508,-0.09699451816338131,0,0,5966,2015,666
104,1,56.35950058208094,39,0.11520108089466553,0,0,5973,2016,666
123,1,32.75690598854985,47.486711702857335,0.14824050628896962,0,0,5996,2017,666
49292,1,34.94941004035244,38.59201614676493,0.41842803869499295,0,0,355,1998,750
47781,1,46.46900380804172,46.13871459929212,0.4091634185412848,0,0,357,1999,750
46420,1,59.098508829460755,38.309224376499536,0.2885499843609326,0,0,403,2001,750
45736,1,36.89164998771608,33.84473712900248,0.25751828208222477,0,0,414,2002,750
44331,1,22.19763580876439,36.45862214801148,0.2424100813716784,0,0,415,2003,750
46490,1,39.50935633522762,34.4,0.03948142026277163,0,0,415,2004,750
45095,1,34.7999992370605,38.58543982149642,0.24248085899622426,0,0,425,2005,750
44961,1,47.59217770270356,35.71130634456145,6.167364079162629e-4,0,0,427,2006,750
45362,1,19.330666207300197,46.35656712130704,0.2546332165557178,0,0,428,2007,750
45999,1,38.159671977954844,39.767242697778336,0.21230847785707058,0,0,428,2008,750
45824,1,60.497164118618485,35.4,0.2450791644089714,0,0,436,2009,750
46460,1,29.3999996185303,38.2098500645875,0.21458882062334853,0,0,437,2010,750
47640,1,36.04208179342697,35.7,0.37760618064228463,0,0,445,2011,750
47478,1,24.810676976284668,42.73551295331886,0.3914393654055507,0,0,451,2012,750
45878,1,6.706750042690921,45.35067176338771,0.23841535204723127,0,0,453,2013,750
47356,1,24,41.46562490991164,0.33404733868872516,0,0,467,2014,750
44373,1,18.285122382257164,40.23873027357321,0.47182709850776483,0,0,467,2015,750
42678,1,35.4000015258789,36.43536336298704,0.31791240692154216,0,0,470,2016,750
41832,1,12.555365449216701,38.92500788046214,0.2579918744881432,0,0,472,2017,750
41651,1,35.2000007629395,42.47385029862257,0.02707699414941428,0,0,477,2018,750
1613,1,46.05360692185731,35.17815683676903,-0.20964263522409485,0,0,425,1995,775
1041,1,22.449395072924673,30.595805324373735,0.01671874030562276,0,0,569,2000,775
916,1,44.61800283609867,34.83001303948584,0.2925383159263648,0,0,590,2001,775
814,1,46.971981049523436,32.52720391389321,0.08762244680957135,0,0,610,2002,775
764,1,31.883568342786283,28.253917177939677,-0.18765004441406022,0,0,615,2003,775
743,1,34.76436665944548,36.76348848509018,0.03671716927751753,0,0,637,2004,775
777,1,71.27564129530111,21.468339687652023,-0.4806060465188261,0,0,675,2006,775
749,1,22.651903192208238,29.822152670294894,-0.2291636113864479,0,0,689,2007,775
791,1,58.739160815518375,36.123579849746655,0.1809473111280024,0,0,689,2008,775
879,1,55.152358117888745,41.58686686122951,0.29756301762429677,0,0,689,2009,775
801,1,32.81836555652193,26.01555342628872,-0.08282921089595643,0,0,695,2010,775
1055,1,30.443204578578342,44.67834182907056,0.5167425457868413,0,0,695,2011,775
