hom_count,illicit_resources,pop_slums,gini,corruption,pko_troops,pko_police,total_deaths,year,country_id
5913,1,35.87057870542507,43.53577746085966,0.16021804895379108,0,0,4016,1998,840
916,1,46.46176764072181,31.120626491693578,0.0059474805794636765,0,0,2117,2001,775
743,1,34.012762475843225,33.46314653636275,-0.08950218238642296,0,0,2269,2004,775
791,1,16.90227776776937,36.3661881318555,0.03977946299577706,0,0,2474,2008,775
1436,1,39.5771790366299,33.30974859573155,0.17607904062500807,0,0,2911,2012,775
1238,1,25.37081481418715,28.77434892761481,-0.0531596799885182,0,0,2915,2013,775
1230,1,41,28.576490013410382,-0.13810514816519173,0,0,2930,2014,775
1152,1,37.51523319231024,38.1,0.20867276375969718,0,0,2951,2015,775
1198,1,56.5999984741211,37.29988015173348,0.19888147172897375,0,0,2951,2016,775
5344,1,14.513646232535375,45.3,0.04234841630266706,0,0,215,1990,800
5586,1,54.44882798237284,35.56535376442537,0.3119955430488429,0,0,215,1991,800
5959,1,51.441339432668556,47.9,-0.016871476128541285,0,0,215,1992,800
5482,1,61.76401742727486,35.138217172813256,0.029832961397594948,0,0,215,1993,800
5006,1,18.05775280064335,43.5,0.28747269930647557,0,0,215,1994,800
4542,1,52.02657215814696,44.99491151591715,0.1818145276360935,0,0,215,1995,800
4474,1,26.59404968623499,42.9,-0.11255975277465571,0,0,215,1996,800
4787,1,47.370463133370734,41.223142019504046,-0.013513703790593107,0,0,215,1997,800
5361,1,26.3974768079281,41.5,0.03879410431421812,0,0,215,1998,800
5052,1,67.486441678156325,43.1,-0.06932314681697863,0,0,215,1999,800
5142,1,18.418895110088716,42.8,0.3187476225501042,0,0,223,2000,800
5020,1,8.069276924979675,38.33932322867247,-0.011722024046256607,0,0,226,2001,800
4538,1,34.32033251831201,41.9,0.048076768153676536,0,0,226,2002,800
6434,1,52.27252675749017,45.51579660439084,0.17974030788170078,0,0,226,2003,800
4273,1,51.17251483342079,42.5,0.10551988630755592,0,0,226,2004,800
4806,1,26,36.2268226391313,0.03521802775308322,0,0,226,2005,800
4687,1,43.0966964979079,41.8,0.004464731362646496,0,0,226,2006,800
4435,1,26.943519521060338,39.8,0.03577305191535693,0,0,226,2007,800
3974,1,36.57017161362688,40.3,0.1232469514517833,0,0,226,2008,800
3703,1,38.5328796779069,39.6,-0.0870744154838595,0,0,226,2009,800
3654,1,27,39.4,0.27674935096088565,0,0,233,2010,800
3307,1,54.492202976098895,37.5,0.11776011928022005,0,0,233,2011,800
3323,1,23.060130751249822,39.3,0.12653895652351416,0,0,233,2012,800
2894,1,22.62276923198293,37.8,-0.13722396006792267,0,0,233,2013,800
2649,1,25,37,0.107253777078191,0,0,233,2014,800
2387,1,48.18347802637152,36,-0.1021366410754381,0,0,233,2015,800
2229,1,24.6000003814697,36.9,0.055002140086412715,0,0,233,2016,800
1787,1,44.81265957095497,36.5,-0.06815906255367074,0,0,233,2017,800
1198,0,56.5999984741211,28.382538350026156,0.16189145650911535,0,0,175,2016,775
1613,0,38.78070464197512,37.457330598488355,0.45108313198587,0,0,69,1995,775
1041,0,45.85679488298233,39.17389262238279,0.5343661494806468,0,0,69,2000,775
916,0,39.052365867641946,43.22172370781101,0.7163185358251256,0,0,69,2001,775
814,0,50.35249409678635,32.818847782420654,0.48895307471007043,0,0,69,2002,775
764,0,34.58400403349819,40.66529879759273,0.5779687876487085,0,0,69,2003,775
743,0,41.311413700197036,36.18698877157218,0.5547806101949302,0,0,69,2004,775
676,0,45.5999984741211,35.599456159288195,0.4640336881214592,0,0,69,2005,775
777,0,39.9008114378591,46.59159711084189,0.7249104535475294,0,0,69,2006,775
749,0,43.25808697397274,33.766032885895505,0.591570409611759,0,0,69,2007,775
791,0,47.04073606879519,37.489683836849466,0.6650929480494271,0,0,69,2008,775
879,0,20.255905030785716,29.156602996165077,0.09831067056028447,0,0,69,2009,775
801,0,13.408371500432697,38.875898768334885,0.35547270987043617,0,0,69,2010,775
1055,0,71.24116371292632,31.44580484833776,0.43882589306085906,0,0,69,2011,775
1436,0,42.75290603733441,33.98519379190823,0.6326102958416692,0,0,70,2012,775
1238,0,26.440145681519937,46.11485943760714,0.4471781066067775,0,0,70,2013,775
1230,0,41,34.56488187883591,0.436329009397156,0,0,72,2014,775
1152,0,37.802595630679946,38.1,0.41305359388375545,0,0,76,2015,775
1613,1,31.606251986736538,25.534563076844407,-0.13876327788601459,0,0,82,1995,775
1041,1,6.486218137663137,33.85925652908264,-0.03323534426480765,0,0,82,2000,775
916,1,42.39369828251906,38.962272266000646,0.20620046744853468,0,0,82,2001,775
814,1,60.328821471602,50.9717345594107,0.28604548051787815,0,0,82,2002,775
764,1,27.23357514078932,34.68569358126925,0.1110967384855071,0,0,82,2003,775
743,1,46.65489644045198,33.31936080175059,-0.09995039639216521,0,0,82,2004,775
676,1,45.5999984741211,37.825289696823276,0.10514847140604702,0,0,82,2005,775
